index,int8,hex,mV
9120,-3,fd,-0.045778
9121,-1,ff,-0.015259
9122,-3,fd,-0.045778
9123,-3,fd,-0.045778
9124,-3,fd,-0.045778
9125,-2,fe,-0.030519
9126,0,00,0
9127,-1,ff,-0.015259
9128,-1,ff,-0.015259
9129,-2,fe,-0.030519
9130,-1,ff,-0.015259
9131,0,00,0
9132,-1,ff,-0.015259
9133,1,01,0.015259
9134,-2,fe,-0.030519
9135,-2,fe,-0.030519
9136,0,00,0
9137,-2,fe,-0.030519
9138,-1,ff,-0.015259
9139,-2,fe,-0.030519
9140,-1,ff,-0.015259
9141,0,00,0
9142,-1,ff,-0.015259
9143,-2,fe,-0.030519
9144,-3,fd,-0.045778
9145,-3,fd,-0.045778
9146,-2,fe,-0.030519
9147,-4,fc,-0.061037
9148,-1,ff,-0.015259
9149,-5,fb,-0.076296
9150,-5,fb,-0.076296
9151,-3,fd,-0.045778
9152,-4,fc,-0.061037
9153,-3,fd,-0.045778
9154,-2,fe,-0.030519
9155,-1,ff,-0.015259
9156,0,00,0
9157,0,00,0
9158,0,00,0
9159,0,00,0
9160,0,00,0
9161,1,01,0.015259
9162,0,00,0
9163,2,02,0.030519
9164,0,00,0
9165,3,03,0.045778
9166,7,07,0.106815
9167,7,07,0.106815
9168,6,06,0.091556
9169,3,03,0.045778
9170,0,00,0
9171,-4,fc,-0.061037
9172,-12,f4,-0.183111
9173,-18,ee,-0.274667
9174,-21,eb,-0.320444
9175,-21,eb,-0.320444
9176,-15,f1,-0.228889
9177,-11,f5,-0.167852
9178,-1,ff,-0.015259
9179,0,00,0
9180,3,03,0.045778
9181,7,07,0.106815
9182,6,06,0.091556
9183,6,06,0.091556
9184,5,05,0.076296
9185,4,04,0.061037
9186,4,04,0.061037
9187,1,01,0.015259
9188,0,00,0
9189,0,00,0
9190,-1,ff,-0.015259
9191,0,00,0
9192,-1,ff,-0.015259
9193,1,01,0.015259
9194,1,01,0.015259
9195,-2,fe,-0.030519
9196,-1,ff,-0.015259
9197,-2,fe,-0.030519
9198,-2,fe,-0.030519
9199,-2,fe,-0.030519
9200,-2,fe,-0.030519
9201,-1,ff,-0.015259
9202,-2,fe,-0.030519
9203,-1,ff,-0.015259
9204,-1,ff,-0.015259
9205,-1,ff,-0.015259
9206,0,00,0
9207,0,00,0
9208,2,02,0.030519
9209,0,00,0
9210,0,00,0
9211,0,00,0
9212,0,00,0
9213,0,00,0
9214,-1,ff,-0.015259
9215,-2,fe,-0.030519
9216,-1,ff,-0.015259
9217,-2,fe,-0.030519
9218,-1,ff,-0.015259
9219,-1,ff,-0.015259
9220,-2,fe,-0.030519
9221,-2,fe,-0.030519
9222,-4,fc,-0.061037
9223,-1,ff,-0.015259
9224,-4,fc,-0.061037
9225,-4,fc,-0.061037
9226,-2,fe,-0.030519
9227,-4,fc,-0.061037
9228,-4,fc,-0.061037
9229,-4,fc,-0.061037
9230,-5,fb,-0.076296
9231,-3,fd,-0.045778
9232,-4,fc,-0.061037
9233,-3,fd,-0.045778
9234,-3,fd,-0.045778
9235,-4,fc,-0.061037
9236,-2,fe,-0.030519
9237,-4,fc,-0.061037
9238,-1,ff,-0.015259
9239,-3,fd,-0.045778
9240,-3,fd,-0.045778
9241,-1,ff,-0.015259
9242,-1,ff,-0.015259
9243,0,00,0
9244,0,00,0
9245,0,00,0
9246,1,01,0.015259
9247,0,00,0
9248,0,00,0
9249,0,00,0
9250,-1,ff,-0.015259
9251,0,00,0
9252,0,00,0
9253,2,02,0.030519
9254,2,02,0.030519
9255,-1,ff,-0.015259
9256,0,00,0
9257,-1,ff,-0.015259
9258,-1,ff,-0.015259
9259,-1,ff,-0.015259
9260,-1,ff,-0.015259
9261,0,00,0
9262,-1,ff,-0.015259
9263,0,00,0
9264,0,00,0
9265,-1,ff,-0.015259
9266,0,00,0
9267,-1,ff,-0.015259
9268,1,01,0.015259
9269,-1,ff,-0.015259
9270,-1,ff,-0.015259
9271,0,00,0
9272,-2,fe,-0.030519
9273,-1,ff,-0.015259
9274,-2,fe,-0.030519
9275,-2,fe,-0.030519
9276,-1,ff,-0.015259
9277,-2,fe,-0.030519
9278,-1,ff,-0.015259
9279,-1,ff,-0.015259
9280,-1,ff,-0.015259
9281,0,00,0
9282,-1,ff,-0.015259
9283,0,00,0
9284,-2,fe,-0.030519
9285,-2,fe,-0.030519
9286,0,00,0
9287,-1,ff,-0.015259
9288,-1,ff,-0.015259
9289,-1,ff,-0.015259
9290,-1,ff,-0.015259
9291,0,00,0
9292,-1,ff,-0.015259
9293,-1,ff,-0.015259
9294,-2,fe,-0.030519
9295,-2,fe,-0.030519
9296,-1,ff,-0.015259
9297,-2,fe,-0.030519
9298,1,01,0.015259
9299,-1,ff,-0.015259
9300,-1,ff,-0.015259
9301,0,00,0
9302,-1,ff,-0.015259
9303,-1,ff,-0.015259
9304,-2,fe,-0.030519
9305,-2,fe,-0.030519
9306,0,00,0
9307,-1,ff,-0.015259
9308,0,00,0
9309,-1,ff,-0.015259
9310,-2,fe,-0.030519
9311,-1,ff,-0.015259
9312,-3,fd,-0.045778
9313,0,00,0
9314,-3,fd,-0.045778
9315,-4,fc,-0.061037
9316,-2,fe,-0.030519
9317,-3,fd,-0.045778
9318,-2,fe,-0.030519
9319,-2,fe,-0.030519
9320,-2,fe,-0.030519
9321,0,00,0
9322,0,00,0
9323,0,00,0
9324,-1,ff,-0.015259
9325,-1,ff,-0.015259
9326,0,00,0
9327,-1,ff,-0.015259
9328,2,02,0.030519
9329,0,00,0
9330,0,00,0
9331,2,02,0.030519
9332,3,03,0.045778
9333,6,06,0.091556
9334,7,07,0.106815
9335,6,06,0.091556
9336,5,05,0.076296
9337,0,00,0
9338,-5,fb,-0.076296
9339,-11,f5,-0.167852
9340,-18,ee,-0.274667
9341,-21,eb,-0.320444
9342,-21,eb,-0.320444
9343,-15,f1,-0.228889
9344,-11,f5,-0.167852
9345,-5,fb,-0.076296
9346,1,01,0.015259
9347,4,04,0.061037
9348,6,06,0.091556
9349,7,07,0.106815
9350,6,06,0.091556
9351,7,07,0.106815
9352,4,04,0.061037
9353,3,03,0.045778
9354,1,01,0.015259
9355,0,00,0
9356,0,00,0
9357,-1,ff,-0.015259
9358,1,01,0.015259
9359,0,00,0
9360,-2,fe,-0.030519
9361,-1,ff,-0.015259
9362,-2,fe,-0.030519
9363,-2,fe,-0.030519
9364,-2,fe,-0.030519
9365,-2,fe,-0.030519
